word    sentiment
O.o	-0.15
o.O	-0.15
o:	-0.05
o:)	0.375
o:-)	0.5
o:-3	0.55
o:3	0.575
o:<	-0.075
o;^)	0.4
ok	0.4
o_o	-0.125
O_o	-0.125
o_O	-0.125
pita	-0.6
pls	0.075
plz	0.075
pmbi	0.2
pmfji	0.075
pmji	0.175
po	-0.65
ptl	0.65
pu	-0.275
qq	-0.55
qt	0.45
r&r	0.6
rofl	0.675
roflmao	0.625
rotfl	0.65
rotflmao	0.7
rotflmfao	0.625
rotflol	0.75
rotgl	0.725
rotglmao	0.45
s:	-0.275
sapfu	-0.275
sete	0.7
sfete	0.675
sgtm	0.6
slap	0.15
slaw	0.525
smh	-0.325
snafu	-0.625
sob	-0.7
swak	0.575
tgif	0.575
thks	0.35
thx	0.375
tia	0.575
tmi	-0.075
tnx	0.275
true	0.45
tx	0.375
txs	0.275
ty	0.4
tyvm	0.625
urw	0.475
vbg	0.525
vbs	0.775
vip	0.575
vwd	0.65
vwp	0.525
wag	-0.05
wd	0.675
wilco	0.225
wp	0.25
wtf	-0.7
wtg	0.525
wth	-0.6
x-d	0.675
x-p	0.45
xd	0.675
xlnt	0.75
xoxo	0.75
xoxozzz	0.575
xp	0.3
xqzt	0.4
xtc	0.2
yolo	0.275
yoyo	0.1
yvw	0.4
yw	0.45
ywia	0.625
zzz	-0.3
[-;	0.125
[:	0.325
[;	0.25
[=	0.425
\-:	-0.25
\:	-0.25
\:<	-0.425
\=	-0.275
\^:	-0.325
\o/	0.55
\o:	-0.3
]-:	-0.525
]:	-0.4
]:<	-0.625
^<_<	0.35
^urs	-0.7
abandon	-0.475
abandoned	-0.5
abandoner	-0.475
abandoners	-0.475
abandoning	-0.4
abandonment	-0.6
abandonments	-0.425
abandons	-0.325
abducted	-0.575
abduction	-0.7
abductions	-0.5
abhor	-0.5
abhorred	-0.6
abhorrent	-0.775
abhors	-0.725
abilities	0.25
ability	0.325
aboard	0.025
absentee	-0.275
absentees	-0.2
absolve	0.3
absolved	0.375
absolves	0.325
absolving	0.4
abuse	-0.8
abused	-0.575
abuser	-0.65
abusers	-0.65
abuses	-0.65
abusing	-0.5
abusive	-0.8
abusively	-0.7
abusiveness	-0.625
abusivenesses	-0.75
accept	0.4
acceptabilities	0.4
acceptability	0.275
acceptable	0.325
acceptableness	0.325
acceptably	0.375
acceptance	0.5
acceptances	0.425
acceptant	0.4
acceptation	0.325
acceptations	0.225
accepted	0.275
accepting	0.4
accepts	0.325
accident	-0.525
accidental	-0.075
accidentally	-0.35
accidents	-0.325
accomplish	0.45
accomplished	0.475
accomplishes	0.425
accusation	-0.25
accusations	-0.325
accuse	-0.2
accused	-0.3
accuses	-0.35
accusing	-0.175
ache	-0.4
ached	-0.4
aches	-0.25
achievable	0.325
aching	-0.55
acquit	0.2
acquits	0.025
acquitted	0.25
acquitting	0.325
acrimonious	-0.425
active	0.425
actively	0.325
activeness	0.15
activenesses	0.2
actives	0.275
adequate	0.225
admirability	0.6
admirable	0.65
admirableness	0.55
admirably	0.625
admiral	0.325
admirals	0.375
admiralties	0.4
admiralty	0.3
admiration	0.625
admirations	0.4
admire	0.525
admired	0.575
admirer	0.45
admirers	0.425
admires	0.375
admiring	0.4
admiringly	0.575
admit	0.2
admits	0.3
admitted	0.1
admonished	-0.475
adopt	0.175
adopts	0.175
adorability	0.55
adorable	0.55
adorableness	0.625
adorably	0.525
adoration	0.725
adorations	0.55
adore	0.65
adored	0.45
adorer	0.425
adorers	0.525
adores	0.4
adoring	0.65
adoringly	0.6
adorn	0.225
adorned	0.2
adorner	0.325
adorners	0.225
adorning	0.25
adornment	0.325
adornments	0.2
adorns	0.125
advanced	0.25
advantage	0.25
advantaged	0.35
advantageous	0.375
advantageously	0.475
advantageousness	0.4
advantages	0.375
advantaging	0.4
adventure	0.325
adventured	0.325
adventurer	0.3
adventurers	0.225
adventures	0.35
adventuresome	0.425
adventuresomeness	0.325
adventuress	0.2
adventuresses	0.35
adventuring	0.575
adventurism	0.375
adventurist	0.35
adventuristic	0.425
adventurists	0.3
adventurous	0.35
adventurously	0.325
adventurousness	0.45
adversarial	-0.375
adversaries	-0.25
adversary	-0.2
adversative	-0.3
adversatively	-0.025
adversatives	-0.25
adverse	-0.375
adversely	-0.2
adverseness	-0.15
adversities	-0.375
adversity	-0.45
affected	-0.15
affection	0.6
affectional	0.475
affectionally	0.375
affectionate	0.475
affectionately	0.55
affectioned	0.45
affectionless	-0.5
affections	0.375
afflicted	-0.375
affronted	0.05
aggravate	-0.625
aggravated	-0.475
aggravates	-0.475
aggravating	-0.3
aggress	-0.325
aggressed	-0.35
aggresses	-0.125
aggressing	-0.15
aggression	-0.3
aggressions	-0.325
aggressive	-0.15
aggressively	-0.325
aggressiveness	-0.45
aggressivities	-0.35
aggressivity	-0.15
aggressor	-0.2
aggressors	-0.225
aghast	-0.475
agitate	-0.425
agitated	-0.5
agitatedly	-0.4
agitates	-0.35
agitating	-0.45
agitation	-0.25
agitational	-0.3
agitations	-0.325
agitative	-0.325
agitato	-0.025
agitator	-0.35
agitators	-0.525
agog	0.475
agonise	-0.525
agonised	-0.575
agonises	-0.6
agonising	-0.375
agonize	-0.575
agonized	-0.55
agonizes	-0.575
agonizing	-0.675
agonizingly	-0.575
agony	-0.45
agree	0.375
agreeability	0.475
agreeable	0.45
agreeableness	0.45
agreeablenesses	0.325
agreeably	0.4
agreed	0.275
agreeing	0.35
agreement	0.55
agreements	0.275
agrees	0.2
alarm	-0.35
alarmed	-0.35
alarming	-0.125
alarmingly	-0.65
alarmism	-0.075
alarmists	-0.275
alarms	-0.275
alas	-0.275
alert	0.3
alienation	-0.275
alive	0.4
allergic	-0.3
allow	0.225
alone	-0.25
alright	0.25
amaze	0.625
amazed	0.55
amazedly	0.525
amazement	0.625
amazements	0.55
amazes	0.55
amazing	0.7
amazon	0.175
amazonite	0.05
amazons	-0.025
amazonstone	0.25
amazonstones	0.05
ambitious	0.525
ambivalent	0.125
amor	0.75
amoral	-0.4
amoralism	-0.175
amoralisms	-0.175
amoralities	-0.3
amorality	-0.375
amorally	-0.25
amoretti	0.05
amoretto	0.15
amorettos	0.075
amorino	0.3
amorist	0.4
amoristic	0.25
amorists	0.025
amoroso	0.575
amorous	0.45
amorously	0.575
amorousness	0.5
amorphous	-0.05
