word	positive	negative	neutral
$:	0.07692307692307693	0.3076923076923077	0.6153846153846154
%)	0.15384615384615385	0.15384615384615385	0.6923076923076923
%-)	0.15384615384615385	0.6153846153846154	0.23076923076923078
&-:	0.23076923076923078	0.15384615384615385	0.6153846153846154
&:	0.07692307692307693	0.07692307692307693	0.8461538461538461
( '}{' )	0.46153846153846156	0.07692307692307693	0.46153846153846156
(%	0.07692307692307693	0.3076923076923077	0.6153846153846154
('-:	0.5384615384615384	0.07692307692307693	0.38461538461538464
(':	0.6923076923076923	0.07692307692307693	0.23076923076923078
((-:	0.7692307692307693	0.07692307692307693	0.15384615384615385
(*	0.46153846153846156	0.07692307692307693	0.46153846153846156
(-%	0.15384615384615385	0.23076923076923078	0.6153846153846154
(-*	0.38461538461538464	0.07692307692307693	0.5384615384615384
(-:	0.38461538461538464	0.07692307692307693	0.5384615384615384
(-:0	0.7692307692307693	0.07692307692307693	0.15384615384615385
(-:<	0.3076923076923077	0.3076923076923077	0.38461538461538464
(-:o	0.38461538461538464	0.07692307692307693	0.5384615384615384
(-:O	0.38461538461538464	0.07692307692307693	0.5384615384615384
(-:{	0.15384615384615385	0.3076923076923077	0.5384615384615384
(-:|>*	0.6923076923076923	0.07692307692307693	0.23076923076923078
(-;	0.38461538461538464	0.07692307692307693	0.5384615384615384
(-;|	0.5384615384615384	0.07692307692307693	0.38461538461538464
(8	0.6923076923076923	0.07692307692307693	0.23076923076923078
(:	0.5384615384615384	0.07692307692307693	0.38461538461538464
(:0	0.6923076923076923	0.07692307692307693	0.23076923076923078
(:<	0.23076923076923078	0.3076923076923077	0.46153846153846156
(:o	0.6923076923076923	0.07692307692307693	0.23076923076923078
(:O	0.6923076923076923	0.07692307692307693	0.23076923076923078
(;	0.38461538461538464	0.07692307692307693	0.5384615384615384
(;<	0.15384615384615385	0.07692307692307693	0.7692307692307693
(=	0.5384615384615384	0.07692307692307693	0.38461538461538464
(?:	0.6923076923076923	0.07692307692307693	0.23076923076923078
(^:	0.38461538461538464	0.07692307692307693	0.5384615384615384
(^;	0.46153846153846156	0.07692307692307693	0.46153846153846156
(^;0	0.6923076923076923	0.07692307692307693	0.23076923076923078
(^;o	0.6153846153846154	0.07692307692307693	0.3076923076923077
(o:	0.38461538461538464	0.07692307692307693	0.5384615384615384
)':	0.07692307692307693	0.7692307692307693	0.15384615384615385
)-':	0.07692307692307693	0.7692307692307693	0.15384615384615385
)-:	0.07692307692307693	0.6153846153846154	0.3076923076923077
)-:<	0.07692307692307693	0.8461538461538461	0.07692307692307693
)-:{	0.07692307692307693	0.6153846153846154	0.3076923076923077
):	0.07692307692307693	0.46153846153846156	0.46153846153846156
):<	0.07692307692307693	0.6923076923076923	0.23076923076923078
):{	0.07692307692307693	0.7692307692307693	0.15384615384615385
);<	0.07692307692307693	0.8461538461538461	0.07692307692307693
*)	0.23076923076923078	0.15384615384615385	0.6153846153846154
*-)	0.23076923076923078	0.23076923076923078	0.5384615384615384
*-:	0.6153846153846154	0.07692307692307693	0.3076923076923077
*-;	0.6153846153846154	0.07692307692307693	0.3076923076923077
*:	0.46153846153846156	0.07692307692307693	0.46153846153846156
*<|:-)	0.38461538461538464	0.07692307692307693	0.5384615384615384
*\0/*	0.6923076923076923	0.07692307692307693	0.23076923076923078
*^:	0.6153846153846154	0.07692307692307693	0.3076923076923077
,-:	0.23076923076923078	0.07692307692307693	0.6923076923076923
---'-;-{@	0.6923076923076923	0.07692307692307693	0.23076923076923078
